City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,puerto baquerizo moreno,-0.9,-89.6,73.26,80,96,10.63,EC,1696035780
156,beboto,8.2668,16.939,71.91,96,76,2.8,TD,1696035906
157,leava,-14.3,-178.1667,80.51,76,45,16.75,WF,1696035906
158,mo i rana,66.3128,14.1428,52.32,92,75,0.0,NO,1696035906
159,carnarvon,-24.8667,113.6333,68.67,62,0,23.67,AU,1696035906
160,nizhniy kuranakh,58.8353,125.4869,42.26,83,100,1.9,RU,1696035907
161,boa vista,2.8197,-60.6733,87.78,58,40,3.44,BR,1696035907
162,kailua-kona,19.6406,-155.9956,86.5,75,40,13.8,US,1696035907
163,hamilton,39.1834,-84.5333,68.04,88,0,3.0,US,1696035629
164,papatowai,-46.5619,169.4708,46.94,73,94,19.53,NZ,1696035907
165,aasiaat,68.7098,-52.8699,26.44,90,87,4.74,GL,1696035802
166,st. john's,47.5649,-52.7093,49.28,88,100,5.01,CA,1696035723
167,swakopmund,-22.6833,14.5333,53.98,88,1,6.6,NA,1696035908
168,tottori,35.5,134.2333,78.87,65,75,3.44,JP,1696035731
169,kendari,-3.945,122.4989,85.33,56,35,1.36,ID,1696035908
170,port lincoln,-34.7333,135.8667,79.99,24,6,19.98,AU,1696035908
171,mount pearl,47.5166,-52.7813,48.45,89,100,2.13,CA,1696035908
172,papao,-17.75,-149.55,82.08,83,22,19.37,PF,1696035909
173,kulhudhuffushi,6.6221,73.07,81.54,77,100,13.33,MV,1696035909
174,marsh harbour,26.5412,-77.0636,83.82,76,41,9.22,BS,1696035909
175,iskateley,67.6803,53.1512,37.54,79,100,16.8,RU,1696035909
176,inarajan village,13.2736,144.7484,88.77,82,100,6.55,GU,1696035909
177,saipan,15.1355,145.701,86.7,70,75,6.91,MP,1696035909
178,callao,-12.0667,-77.15,68.72,82,40,6.91,PE,1696035909
179,puerto carreno,6.189,-67.4859,84.85,71,91,6.24,CO,1696035909
180,mont-laurier,46.5501,-75.4993,53.22,90,17,2.04,CA,1696035845
181,nizhnevartovsk,60.9344,76.5531,28.42,100,0,4.47,RU,1696035910
182,la passe,45.5549,-0.8967,66.43,90,39,4.88,FR,1696035910
183,taro,-8.3862,115.28,73.4,50,75,4.21,ID,1696035910
184,cannonvale,-20.2833,148.7,76.39,64,48,13.67,AU,1696035910
185,gypsum,39.6469,-106.9517,73.96,15,0,5.75,US,1696035860
186,hell-ville,-13.4,48.2667,77.67,72,24,4.12,MG,1696035911
187,kyshtovka,56.555,76.6271,46.17,86,100,4.79,RU,1696035911
188,katabu,-4.9333,122.5167,86.18,49,7,6.82,ID,1696035911
189,kourou,5.1552,-52.6478,80.65,80,5,11.48,GF,1696035911
190,kapuskasing,49.4169,-82.4331,62.69,63,75,8.05,CA,1696035911
191,reggane,26.7158,0.1714,85.17,27,0,22.59,DZ,1696035911
192,aykhal,66.0,111.5,36.27,98,100,7.34,RU,1696035911
193,coaldale,49.7167,-112.6185,60.31,25,75,6.91,CA,1696035911
194,singkil,-7.9855,111.4161,84.11,44,100,8.63,ID,1696035912
195,bonny,4.4522,7.1681,76.08,87,100,4.14,NG,1696035912
196,turpan,42.9333,89.1667,72.36,22,100,3.36,CN,1696035912
197,midvagur,62.0511,-7.1939,47.23,87,100,16.11,FO,1696035912
198,alice springs,-23.7,133.8833,85.55,11,0,8.05,AU,1696035753
199,humberto de campos,-2.5983,-43.4611,75.76,88,27,4.32,BR,1696035912
200,quellon,-43.1167,-73.6167,42.71,83,27,6.91,CL,1696035912
201,ta`u,-14.2336,-169.5144,80.53,79,51,10.78,AS,1696035912
202,vallenar,-28.5708,-70.7581,63.37,55,28,3.33,CL,1696035797
203,saguenay,48.4168,-71.0657,55.51,92,20,4.61,CA,1696035913
204,klyuchi,52.2667,79.1667,51.22,71,100,4.29,RU,1696035913
205,queenstown,-31.8976,26.8753,61.99,26,100,8.5,ZA,1696035913
206,fada,9.5667,8.3,65.71,92,20,1.54,NG,1696035913
207,fale old settlement,-9.3852,-171.2468,83.79,70,6,10.51,TK,1696035913
208,antonio enes,-16.2325,39.9086,72.61,86,4,6.89,MZ,1696035913
209,jiagedaqi,50.4167,124.1167,52.02,52,82,8.34,CN,1696035913
210,avarua,-21.2078,-159.775,80.65,78,75,9.22,CK,1696035840
211,lompoc,34.6391,-120.4579,69.01,88,100,11.99,US,1696035914
212,kapa'a,22.0752,-159.319,85.98,76,40,13.8,US,1696035914
213,igarka,67.4667,86.5833,24.28,94,100,18.72,RU,1696035914
214,mitu,1.1983,-70.1733,75.49,87,45,1.05,CO,1696035914
215,san clemente,33.427,-117.612,69.64,80,35,3.0,US,1696035619
216,nouadhibou,20.931,-17.0347,75.18,69,100,12.66,MR,1696035914
217,sao jose da coroa grande,-8.8978,-35.1478,78.24,73,100,10.56,BR,1696035914
218,nagqu,31.5,92.0,37.94,78,13,4.45,CN,1696035914
219,inhambane,-23.865,35.3833,71.74,93,4,8.61,MZ,1696035915
220,taulaga,-11.0553,-171.0883,82.51,76,7,11.65,AS,1696035915
221,villarrica,-25.75,-56.4333,69.08,58,100,4.7,PY,1696035915
222,saint-philippe,-21.3585,55.7679,69.39,76,3,8.25,RE,1696035915
